survey_question,variable1,variable2,variable3,variable4,variable5,mc_multiple,text_response,recoded1,recoded2,recoded3,recoded4,recoded5,recoded6,recoded7,recoded8,recoded9,recoded10,recoded11,recoded12,recoded13,recoded14,recoded15,recoded16,recoded17,recoded18,recoded19,recoded20,recoded21,recoded22
What is your professional title or role?,title,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,
How long have you held your current professional title or role? ,duration,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Where is your lab or research group located? University or Institution: _____ Department or Program: _____ Country: ____,location_university,location_department,location_country,,,no,no,,,,,,,,,,,,,,,,,,,,,,
How big is your lab? Research assistants: _____ Graduate students: _____ Post-docs: _____ Part time staff: _____ Full time staff: _____,lab_size_ra,lab_size_gs,lab_size_pd,lab_size_staff_part,lab_size_staff_full,no,no,,,,,,,,,,,,,,,,,,,,,,
What is your primary research area?,research_area,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,
Where do you do your scanning?,scanning_location,,,,,yes,yes,scanning_location_research_own,scanning_location_research_other,scanning_location_medical_own,scanning_location_medical_other,scanning_location_multiple,scanning_location_reuse,scanning_location_other,,,,,,,,,,,,,,,
Which of the following best describes how you analyze and store your data?,computation,,,,,yes,yes,computation_own_all,computation_own_analysis,computation_workstation,computation_cluster,computation_other,,,,,,,,,,,,,,,,,
Who funds your research or work,funder,,,,,yes,no,funder_nih,funder_nsf,funder_dod,funder_startup,funder_institutional,funder_foundation,funder_international,,,,,,,,,,,,,,,
What is your role on these grants?,grant_role,,,,,yes,yes,grant_role_PI,grant_role_CI,grant_role_faculty,grant_role_consultant,grant_role_postdoc,grant_role_gradstudent,grant_role_undergrad,grant_role_other,,,,,,,,,,,,,,
"Do you maintain documentation regarding how data is to be collected, organized, and secured over the course of a project?",dmp,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Where did you receive your training in collecting and analyzing neuroimaging data?,training,,,,,yes,yes,training_course_own,training_course_other,training_lab,training_department,training_self,training_other,training_none,,,,,,,,,,,,,,,
"Does your institution provide any assistance, training, or consulting services on topics related to research data management (e.g. data storage, organization, and security)?",institution_support_rdm,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Does your institution provide assistance, training, or consulting services on topics related to scholarly publishing and/or data sharing (e.g. public access compliance, digital preservation, and data sharing mandates)?",institution_support_scholcomm,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Does your institution provide any technical infrastructure to foster research data management and/or data sharing (e.g. tools for file sharing, storage, collaboration provided by the library/ITS)?",institution_support_it,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"On a scale of 1-5, how would you rate the overall maturity of your data management practices during the data collection phase of a project.",rating_indiv_datacoll,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"On a scale of 1-5, how would you rate the data management practices for the field of neuroimaging as a whole during the data collection phase of a project.",rating_field_datacoll,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
What type(s) of MRI data do you collect?,mri_data,,,,,yes,yes,mri_data_anatomical,mri_data_task,mri_data_resting,mri_data_diffusion,mri_data_fieldmap,mri_data_other,,,,,,,,,,,,,,,,
"In addition to MRI data, what other information do you collect from your participants?",nonmri_data,,,,,yes,yes,nonmri_data_demographics,nonmri_data_clinical,nonmri_data_behavioral,nonmri_data_questionnaire,nonmri_data_imaging,nonmri_data_physio,nonmri_data_genetic,nonmri_data_eye,nonmri_data_other,,,,,,,,,,,,,
What additional information do you need to preserve for an MRI project that is connected to the data collected from your participants?,study_info,,,,,yes,yes,study_info_sessioninfo,study_info_acquisition,study_info_acquisition,study_info_taskinfo,study_info_taskstim,study_info_code_presentation,study_info_code_collection,study_info_other,,,,,,,,,,,,,,
How do you transfer the data acquired during a scan session to your lab?,data_transfer,,,,,yes,yes,data_transfer_server_MRI,data_transfer_server_nonmri,data_transfer_media_nonmri,data_transfer_media_physio,data_transfer_drive_mri,data_transfer_drive_other,data_transfer_other,,,,,,,,,,,,,,,
What system(s) do you use to keep your data organized once it is in the lab?,data_organization,,,,,yes,yes,data_organization_database,data_organization_filenames,data_organization_fileorg,data_organization_documentation,data_organization_nodocs,data_organization_other,,,,,,,,,,,,,,,,
Does everyone in your lab or research group use the same system(s) for organizing their data?,consist_dataorg,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
How do you backup your MRI data?,backup_mri,,,,,yes,yes,backup_mri_media,backup_mri_drive,backup_mri_local,backup_mri_server_own,backup_mri_server_other,backup_mri_cloud,backup_mri_repository,backup_mri_other,backup_mri_none,,,,,,,,,,,,,
Does your scanning facility also backup or archive MRI data?,scanner_backup,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"How do you backup your non-MRI data (behavioral data, physiology data, etc)?",backup_nonmri,,,,,yes,yes,backup_nonmri_media,backup_nonmri_drive,backup_nonmri_local,backup_nonmri_server_own,backup_nonmri_server_other,backup_nonmri_cloud,backup_nonmri_repository,backup_nonmri_other,backup_nonmri_none,,,,,,,,,,,,,
How many redundant backups do you keep of your data?,number_backups,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Does everyone in your lab or research group use the same system(s) for backing up their data?,consist_backup,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Raw data is consistently saved, organized, and backed-up.",rate_datacoll_rawdata,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
The security of sensitive data (e.g. data subject to HIPAA) is maintained.,rate_datacoll_sensitive,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Files are named using standardized conventions and organized using standardized file structure.,rate_datacoll_naming,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"There is a codebook, data dictionary, readme file, wiki, or notebook that describes how data is organized.",rate_datacoll_organization,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Data that goes together is linked in an anonymous, secure, and coherent fashion.",rate_datacoll_linked,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
What limits your ability to manage your data well at this stage?,rdm_limitations_datacoll,,,,,yes,yes,rdm_limitations_datacoll_time,rdm_limitations_datacoll_cost,rdm_limitations_datacoll_training,rdm_limitations_datacoll_bestpractices,rdm_limitations_datacoll_incentives,rdm_limitations_datacoll_other,,,,,,,,,,,,,,,,
What motivates your current data management practices at this stage?,rdm_motivations_datacoll,,,,,yes,yes,rdm_motivations_datacoll_access,rdm_motivations_datacoll_loss,rdm_motivations_datacoll_mandates_fundpub,rdm_motivations_datacoll_mandates_institution,rdm_motivations_datacoll_tools,rdm_motivations_datacoll_openness,rdm_motivations_datacoll_other,,,,,,,,,,,,,,,
"On a scale of 1-5, how would you rate the overall maturity of your data management practices during the data analysis phase of a project.",rate_indiv_dataanal,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"On a scale of 1-5, how would you rate the data management practices for the field of neuroimaging as a whole during the data analysis phase of a project.",rate_field_dataanal,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
What software tools do you use to pre-process and analyze your MRI data?,software_mri,,,,,yes,yes,software_mri_3dslicer,software_mri_afni,software_mri_bioimage,software_mri_brainsuite,software_mri_brainvisa,software_mri_brainvoyager,software_mri_camba,software_mri_caret,software_mri_cmtk,software_mri_conn,software_mri_dtitk,software_mri_freesurfer,software_mri_dsi,software_mri_fsl,software_mri_mango,software_mri_mricro,software_mri_mritrix,software_mri_neuroelf,software_mri_niak,software_mri_spm,software_mri_osirix,software_mri_other
Do you use the same version(s) of software or tools to pre-preprocess and analyze MRI data throughout the complete duration of a specific project?,software_versions,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes how you typically pre-preprocess your MRI data?,preprocess_how,,,,,yes,yes,preprocess_how_scripts_own,preprocess_how_scripts_others_adapted,preprocess_how_scripts_others_unchanged,preprocess_how_gui,preprocess_how_other,,,,,,,,,,,,,,,,,
Does everyone in the lab use the same software tools to preprocess and analyze their MRI data?,consist_software_mri,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Aside from MRI data analysis software, what additional software tools do you use to analyze your data (including non-MRI data)?",software_nonmri,,,,,yes,yes,software_nonmri_excel,software_nonmri_jasp,software_nonmri_mathematica,software_nonmri_matlab,software_nonmri_python,software_nonmri_r,software_nonmri_sas,software_nonmri_stata,software_nonmri_spss,software_nonmri_other,,,,,,,,,,,,
Does everyone in the lab use the same data analysis software?,consist_software_nonfmri,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Do you use custom code or scripts as part of the analysis process (e.g. to conduct first or second level analyses)?,customcode,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,
"If you create or adapt custom code or scripts while analyzing your data, do you use a version control system (e.g. Git)?",versioncontrol,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Does everyone in your lab use a data analysis pipeline that involves the same software packages and scripting practices?,consist_dataanal,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"How do you typically document your activities (including quality checks, pre-processing parameters, and the results of first/higher level analyses) during the data analysis phase of a project?",document_dataanal,,,,,yes,yes,document_dataanal_word,document_dataanal_labmanagement,document_dataanal_elabnotebook,document_dataanal_admp,document_dataanal_versioncontrol,document_dataanal_labwiki,document_dataanal_readme,document_dataanal_none,document_dataanal_other,,,,,,,,,,,,,
Does everyone in the lab use the same system for documenting their activities during the data analysis phase of a project?,consisit_document_dataanal,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Could someone with a similar level of expertise recreate your pre-processing and analysis steps on your data from the documentation and notes your create as you are pre-processing and analyzing your data (without you being present)?,recreate_dataanal,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Analyzed data is consistently saved and backed-up.,rate_dataanal_backup,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"The decisions, parameters, and procedures involved in my analysis pipeline are well documented.",rate_dataanal_analysis,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Decisions, parameters, and procedures related to software, scripts, or code are well documented.",rate_dataanal_software,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
The analysis workflow is consistent (with adjustments).,rate_datacoll_consistency,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"Data that goes together is linked in an anonymous, secure, and coherent fashion.",rate_datacoll_linked,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
What limits your ability to manage your data well at this stage?,rdm_limitations_dataanal,,,,,yes,yes,rdm_limitations_dataanal_time,rdm_limitations_dataanal_cost,rdm_limitations_dataanal_training,rdm_limitations_dataanal_bestpractices,rdm_limitations_dataanal_incentives,rdm_limitations_dataanal_other,,,,,,,,,,,,,,,,
What motivates your current data management practices at this stage?,rdm_motivation_dataanal,,,,,yes,yes,rdm_motivations_dataanal_access,rdm_motivations_dataanal_loss,rdm_motivations_dataanal_mandates_fundpub,rdm_motivations_dataanal_mandates_institution,rdm_motivations_dataanal_tools,rdm_motivations_dataanal_openness,rdm_motivations_dataanal_other,,,,,,,,,,,,,,,
"On a scale of 1-5, how would you rate the maturity of your data sharing activities?",rating_indiv_datashare,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"On a scale of 1-5, how would you rate the maturity of the field of neuroimaging as a whole in regards to data sharing?",rating_field_datashare,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Is there any reason part or all of your data cannot be shared?,cant_share,,,,,yes,yes,cant_share_yes_publish,cant_share__yes_sensitive,cant_share_yes_format,cant_share_yes_ip,cant_share_yes_pi,cant_share_yes_time,cant_share_yes_know,cant_share_yes_other,cant_share_no_authorship,cant_share_no_citation,,,,,,,,,,,,
What are the important parts of your data to preserve long term?,longterm_preservation,,,,,yes,yes,longterm_preservation_mri_raw,longterm_preservation_mri_analyzed,longterm_preservation_demographic,longterm_preservation_clinical,longterm_preservation_behavioral,longterm_preservation_questionnaire,longterm_preservation_neuroimaging,longterm_preservation_physio,longterm_preservation_genetic,longterm_preservation_eyetracking,longterm_preservation_sessioninfo,longterm_preservation_acquisition,longterm_preservation_stimuli,longterm_preservation_code_stimuli,longterm_preservation_code_collection,longterm_preservation_other,,,,,,
Have you ever deposited a dataset somewhere to make it publically available?,data_deposit,,,,,yes,yes,data_deposit_yes_ir,data_deposit_yes_repository_general,data_deposit_repository_neuro,data_deposit_yes_other,data_deposit_no,,,,,,,,,,,,,,,,,
"If applicable, what is your motivation for sharing your data (such as through uploading some or all of it to a general or discipline-specific repository)?",why_share,,,,,yes,yes,why_share_shareresults,why_share_check,why_share_authorship,why_share_ip,why_share_mandated,why_share_openness,why_share_reproducibility,why_share_na,why_share_other,,,,,,,,,,,,,
Have you ever deposited code somewhere so that it can be shared?,code_deposit,,,,,yes,yes,code_deposit_yes_container,code_deposit_yes_repository_software,code_deposit_repository_general,code_deposit_yes_other,code_deposit_no,,,,,,,,,,,,,,,,,
Have you ever published in a journal that required you to share data or submit a data availability statement?,share_required,,,,,yes,no,share_required_data,share_required_statement,share_required_no,share_required_unknown,,,,,,,,,,,,,,,,,,
Have you ever requested data from another researcher?,request_data_others,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Have you ever received a request for your data?,request_data_you,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Could someone with a similar level of expertise recreate your pre-processing and analysis steps using your description of them in a publication or scholarly report (without you being present)?,recreate_datashare,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
How long do you (or your lab) typically keep a dataset?,data_retention,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,
The data collected by the lab is consistently shared with researchers outside the lab.,rate_datashare_data,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
"The parameters, and procedures associated with the data are shared with researchers outside the lab.",rate_datashare_procedures,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
Ancillary materials (e.g. computer code) are shared with researchers outside the lab.,rate_datashare_materials,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,
